,model,n_edges,cls_type,C-index,IBS,Survival Model
143,GAT,5000,MLP,0.5561594202898551,0.1993384820081576,DeepSurv
144,GAT,5000,MLP,0.4842105263157895,0.1990158665265077,MTLR
145,GAT,5000,MLP,0.6210526315789474,0.1739459456291,DeepSurv
146,GAT,5000,MLP,0.6457286432160804,0.2009361748053318,MTLR
147,GAT,5000,MLP,0.5967336683417085,0.1751886668390825,DeepSurv
148,GAT,5000,MLP,0.6394817073170732,0.1706075080398991,MTLR
149,GAT,5000,MLP,0.631859756097561,0.1598485503145219,DeepSurv
150,GAT,5000,MLP,0.6058451816745656,0.160731607895678,MTLR
151,GAT,5000,MLP,0.6058451816745656,0.1877862118031562,DeepSurv
152,GAT,5000,MLP,0.593245227606461,0.1901790366744199,MTLR
153,GAT,5000,MLP,0.57856093979442,0.2234686802855817,DeepSurv
154,GAT,5000,MLP,0.4421128798842257,0.2131372907691744,MTLR
155,GAT,5000,MLP,0.5007235890014472,0.1824641088145482,DeepSurv
156,GAT,5000,MLP,0.7298850574712644,0.1545228255692594,MTLR
157,GAT,5000,MLP,0.3308702791461412,0.1551790516741353,DeepSurv
158,GAT,5000,MLP,0.4564873417721519,0.1704790563163872,MTLR
159,GAT,5000,MLP,0.5893987341772152,0.173942910167645,DeepSurv
160,GAT,5000,MLP,0.6253086419753087,0.2659510156393742,MTLR
161,GAT,5000,MLP,0.6401234567901235,0.2549385152053592,DeepSurv
162,GAT,5000,MLP,0.6267515923566879,0.2140821838951969,MTLR
163,GAT,5000,MLP,0.6573248407643312,0.2160493146026987,DeepSurv
164,GAT,5000,MLP,0.6082089552238806,0.1660194153952349,MTLR
165,GAT,5000,MLP,0.6082089552238806,0.1577076090641215,DeepSurv
166,GAT,5000,MLP,0.77421875,0.1666839412998853,MTLR
167,GAT,5000,MLP,0.61171875,0.1476142609253368,DeepSurv
168,GAT,5000,MLP,0.3829365079365079,0.1615840665154551,MTLR
169,GAT,5000,MLP,0.5615079365079365,0.187132376585589,DeepSurv
170,GAT,5000,MLP,0.720108695652174,0.1636925962170829,MTLR
171,GAT,5000,MLP,0.657608695652174,0.205959329206757,DeepSurv
172,GAT,5000,MLP,0.597953216374269,0.1884112896639816,MTLR
173,GAT,5000,MLP,0.4429824561403508,0.1779334353833937,DeepSurv
174,GAT,5000,MLP,0.642314990512334,0.1822997059556662,MTLR
175,GAT,5000,MLP,0.6176470588235294,0.1973284790382234,DeepSurv
176,GAT,5000,MLP,0.5634715025906736,0.2528482146094654,MTLR
177,GAT,5000,MLP,0.5634715025906736,0.1841477911847998,DeepSurv
178,GAT,5000,MLP,0.6895604395604396,0.1566705385212003,MTLR
179,GAT,5000,MLP,0.7060439560439561,0.1759841055535164,DeepSurv
180,Baseline,0,MLP,0.6439252336448598,0.1984259526302862,MTLR
181,Baseline,0,MLP,0.6196261682242991,0.1919586322732232,DeepSurv
182,Baseline,0,MLP,0.6131578947368421,0.2235886532126871,MTLR
183,Baseline,0,MLP,0.5745614035087719,0.1904630505126368,DeepSurv
184,Baseline,0,MLP,0.35,0.1756806183160104,MTLR
185,Baseline,0,MLP,0.5448275862068965,0.1725735165860609,DeepSurv
186,Baseline,0,MLP,0.3947730398899587,0.1775263063410641,MTLR
187,Baseline,0,MLP,0.517193947730399,0.1741110240894707,DeepSurv
188,Baseline,0,MLP,0.5512445095168375,0.1523351462223428,MTLR
189,Baseline,0,MLP,0.6288433382137628,0.1679756116953925,DeepSurv
190,Baseline,0,MLP,0.4451566951566951,0.159601148391786,MTLR
191,Baseline,0,MLP,0.4451566951566951,0.1775762415356022,DeepSurv
192,Baseline,0,MLP,0.6222044728434505,0.1368766829314553,MTLR
193,Baseline,0,MLP,0.542332268370607,0.1889703504221537,DeepSurv
194,Baseline,0,MLP,0.6705357142857142,0.1925797300124766,MTLR
195,Baseline,0,MLP,0.64375,0.1632770954629906,DeepSurv
196,Baseline,0,MLP,0.709731543624161,0.1659548084691474,MTLR
197,Baseline,0,MLP,0.6946308724832215,0.1634352009212263,DeepSurv
198,Baseline,0,MLP,0.5283783783783784,0.1929160944472812,MTLR
199,Baseline,0,MLP,0.5662162162162162,0.2238853608068046,DeepSurv
200,Baseline,0,MLP,0.7238805970149254,0.2100787032373171,MTLR
201,Baseline,0,MLP,0.6388059701492538,0.2124648632134428,DeepSurv
202,Baseline,0,MLP,0.5647540983606557,0.1302246118203388,MTLR
203,Baseline,0,MLP,0.5647540983606557,0.1437348850343462,DeepSurv
204,Baseline,0,MLP,0.6245519713261649,0.1612235162991848,MTLR
205,Baseline,0,MLP,0.6030465949820788,0.1517637995124796,DeepSurv
206,Baseline,0,MLP,0.6728971962616822,0.2239819482676036,MTLR
207,Baseline,0,MLP,0.5716510903426791,0.1936457917091205,DeepSurv
208,Baseline,0,MLP,0.6362951807228916,0.1783862248406593,MTLR
209,Baseline,0,MLP,0.5971385542168675,0.1527889691933779,DeepSurv
210,Baseline,0,MLP,0.6918194640338505,0.1569090677893459,MTLR
211,Baseline,0,MLP,0.655148095909732,0.1907609621634344,DeepSurv
212,Baseline,0,MLP,0.4441301272984441,0.2062461176174319,MTLR
213,Baseline,0,MLP,0.620933521923621,0.1770016189017428,DeepSurv
214,Baseline,0,MLP,0.6977011494252874,0.1622487421870145,MTLR
215,Baseline,0,MLP,0.6586206896551724,0.1770277953037153,DeepSurv
216,Baseline,0,MLP,0.5340909090909091,0.1657936241932766,MTLR
217,Baseline,0,MLP,0.6879370629370629,0.175321022419288,DeepSurv
218,Baseline,0,MLP,0.6046511627906976,0.1718813593959488,MTLR
219,Baseline,0,MLP,0.5365448504983389,0.1696471147942314,DeepSurv
220,Baseline,0,MLP,0.5606060606060606,0.2003656415656264,MTLR
221,Baseline,0,MLP,0.5984848484848485,0.1700443674129799,DeepSurv
222,Baseline,0,MLP,0.6711915535444947,0.1510118063007364,MTLR
223,Baseline,0,MLP,0.6530920060331825,0.1606512960876015,DeepSurv
224,Baseline,0,MLP,0.6490312965722802,0.1723349914506102,MTLR
225,Baseline,0,MLP,0.6087928464977646,0.1538435652081385,DeepSurv
226,Baseline,0,MLP,0.6588628762541806,0.1390737947707144,MTLR
227,Baseline,0,MLP,0.6061872909698997,0.2007199086089803,DeepSurv
228,Baseline,0,MLP,0.4398601398601399,0.1796878369583417,MTLR
229,Baseline,0,MLP,0.6062937062937063,0.158017599549276,DeepSurv
